2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:24 - Received message from Machine 1, Queue length: 5, Logical clock: 583
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 7, Logical clock: 584
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 8, Logical clock: 587
2025-02-28 14:32:24 - Received message from Machine 1, Queue length: 9, Logical clock: 589
2025-02-28 14:32:25 - Received message from Machine 1, Queue length: 11, Logical clock: 593
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 10, Logical clock: 594
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 12, Logical clock: 599
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 11, Logical clock: 602
2025-02-28 14:32:25 - Received message from Machine 1, Queue length: 11, Logical clock: 603
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 11, Logical clock: 605
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 11, Logical clock: 606
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 12, Logical clock: 608
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 15, Logical clock: 609
2025-02-28 14:32:25 - Received message from Machine 1, Queue length: 14, Logical clock: 610
2025-02-28 14:32:25 - Received message from Machine 1, Queue length: 13, Logical clock: 611
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 12, Logical clock: 613
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 12, Logical clock: 619
2025-02-28 14:32:26 - Received message from Machine 1, Queue length: 14, Logical clock: 620
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 13, Logical clock: 621
2025-02-28 14:32:26 - Received message from Machine 1, Queue length: 13, Logical clock: 624
2025-02-28 14:32:26 - Received message from Machine 1, Queue length: 14, Logical clock: 630
2025-02-28 14:32:26 - Received message from Machine 1, Queue length: 13, Logical clock: 633
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 13, Logical clock: 637
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 13, Logical clock: 640
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 13, Logical clock: 641
2025-02-28 14:32:26 - Received message from Machine 1, Queue length: 14, Logical clock: 642
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 14, Logical clock: 643
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 13, Logical clock: 644
2025-02-28 14:32:27 - Received message from Machine 1, Queue length: 13, Logical clock: 657
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 12, Logical clock: 661
2025-02-28 14:32:27 - Received message from Machine 1, Queue length: 11, Logical clock: 663
